encoder,dataset,class_idx,class_name,probe_acc,prototype_acc,gap_pp
resnet18,DTD,17,grooved,70.0,62.5,7.5
resnet18,DTD,44,woven,37.5,30.0,7.5
resnet18,FGVC-Aircraft,45,CRJ-700,27.3,21.2,6.100000000000001
dinov2,FGVC-Aircraft,31,A340-500,48.5,42.4,6.100000000000001
resnet18,FGVC-Aircraft,52,DC-10,15.2,9.1,6.1
resnet18,FGVC-Aircraft,0,707-320,18.2,12.1,6.1
resnet18,FGVC-Aircraft,55,DC-8,21.2,15.2,6.0
dinov2,FGVC-Aircraft,89,Metroliner,76.5,70.6,5.900000000000006
resnet18,FGVC-Aircraft,17,767-300,8.8,2.9,5.9
resnet18,FGVC-Aircraft,68,ERJ 135,38.2,32.4,5.800000000000004
resnet18,DTD,46,zigzagged,80.0,75.0,5.0
resnet18,DTD,4,bumpy,40.0,35.0,5.0
resnet18,DTD,18,honeycombed,75.0,70.0,5.0
resnet18,DTD,3,bubbly,60.0,55.0,5.0
resnet18,DTD,9,crystalline,87.5,82.5,5.0
resnet18,FGVC-Aircraft,27,A330-200,18.2,15.2,3.0
resnet18,FGVC-Aircraft,43,C-47,30.3,27.3,3.0
dinov2,FGVC-Aircraft,43,C-47,42.4,39.4,3.0
resnet18,FGVC-Aircraft,92,SR-20,82.4,79.4,3.0
resnet18,FGVC-Aircraft,87,MD-87,30.3,27.3,3.0
dinov2,FGVC-Aircraft,53,DC-3,41.2,38.2,3.0
resnet18,FGVC-Aircraft,58,DHC-1,63.6,60.6,3.0
resnet18,FGVC-Aircraft,31,A340-500,39.4,36.4,3.0
resnet18,FGVC-Aircraft,30,A340-300,9.1,6.1,3.0
resnet18,FGVC-Aircraft,26,A321,11.8,8.8,3.0
resnet18,FGVC-Aircraft,3,737-300,12.1,9.1,3.0
resnet18,FGVC-Aircraft,54,DC-6,48.5,45.5,3.0
resnet18,FGVC-Aircraft,32,A340-600,38.2,35.3,2.9000000000000057
resnet18,FGVC-Aircraft,56,DC-9-30,8.8,5.9,2.9000000000000004
dinov2,FGVC-Aircraft,2,737-200,67.6,64.7,2.8999999999999915
resnet18,DTD,5,chequered,87.5,85.0,2.5
resnet18,DTD,1,blotchy,25.0,22.5,2.5
resnet18,DTD,38,stratified,65.0,62.5,2.5
resnet18,DTD,34,smeared,57.5,55.0,2.5
resnet18,DTD,24,matted,55.0,52.5,2.5
resnet18,DTD,32,potholed,80.0,77.5,2.5
resnet18,DTD,15,gauzy,80.0,77.5,2.5
resnet18,DTD,6,cobwebbed,87.5,85.0,2.5
resnet18,DTD,27,perforated,75.0,72.5,2.5
resnet18,DTD,33,scaly,75.0,72.5,2.5
resnet18,FGVC-Aircraft,12,747-300,21.2,21.2,0.0
resnet18,FGVC-Aircraft,8,737-800,5.9,5.9,0.0
resnet18,DTD,43,waffled,80.0,80.0,0.0
resnet18,DTD,7,cracked,65.0,65.0,0.0
resnet18,FGVC-Aircraft,24,A319,24.2,24.2,0.0
resnet18,FGVC-Aircraft,71,Eurofighter Typhoon,91.2,91.2,0.0
dinov2,FGVC-Aircraft,82,Hawk T1,97.0,97.0,0.0
dinov2,FGVC-Aircraft,47,Cessna 172,100.0,100.0,0.0
dinov2,FGVC-Aircraft,0,707-320,51.5,51.5,0.0
resnet18,FGVC-Aircraft,73,F/A-18,69.7,69.7,0.0
dinov2,FGVC-Aircraft,71,Eurofighter Typhoon,97.1,97.1,0.0
resnet18,FGVC-Aircraft,2,737-200,14.7,14.7,0.0
resnet18,DTD,20,knitted,82.5,85.0,-2.5
resnet18,DTD,8,crosshatched,52.5,55.0,-2.5
resnet18,DTD,12,flecked,55.0,57.5,-2.5
resnet18,FGVC-Aircraft,5,737-500,20.6,23.5,-2.8999999999999986
resnet18,FGVC-Aircraft,62,DR-400,85.3,88.2,-2.9000000000000057
resnet18,FGVC-Aircraft,83,Il-76,76.5,79.4,-2.9000000000000057
resnet18,FGVC-Aircraft,25,A320,0.0,3.0,-3.0
dinov2,FGVC-Aircraft,57,DH-82,93.9,97.0,-3.0999999999999943
resnet18,FGVC-Aircraft,4,737-400,3.0,6.1,-3.0999999999999996
resnet18,FGVC-Aircraft,13,747-400,12.1,15.2,-3.0999999999999996
resnet18,FGVC-Aircraft,91,PA-28,54.5,57.6,-3.1000000000000014
resnet18,DTD,26,paisley,80.0,85.0,-5.0
resnet18,DTD,29,pleated,45.0,50.0,-5.0
resnet18,FGVC-Aircraft,11,747-200,5.9,11.8,-5.9
resnet18,FGVC-Aircraft,14,757-200,0.0,5.9,-5.9
resnet18,DTD,37,stained,27.5,35.0,-7.5
resnet18,DTD,40,studded,65.0,72.5,-7.5
resnet18,DTD,21,lacelike,65.0,72.5,-7.5
resnet18,FGVC-Aircraft,19,777-200,3.0,12.1,-9.1
resnet18,FGVC-Aircraft,42,C-130,60.6,69.7,-9.100000000000001
resnet18,DTD,35,spiralled,55.0,65.0,-10.0
resnet18,FGVC-Aircraft,57,DH-82,72.7,84.8,-12.099999999999994
resnet18,FGVC-Aircraft,1,727-200,18.2,30.3,-12.100000000000001
resnet18,DTD,25,meshed,50.0,62.5,-12.5
resnet18,DTD,39,striped,67.5,80.0,-12.5
resnet18,DTD,10,dotted,50.0,77.5,-27.5
